athlete_id,athlete_display_name,stat,line,season_avg,season_std,games_played,games_over,hit_rate_season,hit_rate_L5,hit_rate_L10,hit_rate_home,hit_rate_away,prob_empirical,prob_poisson,prob_normal,prob_ensemble,confidence,edge_direction,edge_strength
869,DeWanna Bonner,points,8.5,9.428571428571429,5.065705840391412,28,17,0.6071428571428571,0.6,0.7,0.6923076923076923,0.5333333333333333,0.6071428571428571,0.5993302292359145,0.5727208161629023,0.593064634180558,High,OVER,Moderate
869,DeWanna Bonner,points,10.5,9.428571428571429,5.065705840391412,28,9,0.32142857142857145,0.4,0.5,0.3076923076923077,0.3333333333333333,0.32142857142857145,0.3458673572385242,0.4162461181995894,0.361180682288895,High,UNDER,Moderate
869,DeWanna Bonner,points,12.5,9.428571428571429,5.065705840391412,28,8,0.2857142857142857,0.4,0.4,0.23076923076923078,0.3333333333333333,0.2857142857142857,0.1575958661840404,0.27215180813125106,0.23848732000985906,High,UNDER,Strong
869,DeWanna Bonner,points,14.5,9.428571428571429,5.065705840391412,28,4,0.14285714285714285,0.4,0.2,0.15384615384615385,0.13333333333333333,0.14285714285714285,0.05705154319273666,0.15838205385786736,0.11943024663591562,High,UNDER,Strong
869,DeWanna Bonner,points,15.5,9.428571428571429,5.065705840391412,28,4,0.14285714285714285,0.4,0.2,0.15384615384615385,0.13333333333333333,0.14285714285714285,0.03161768309110374,0.11535429452933826,0.09660970682586162,High,UNDER,Strong
869,DeWanna Bonner,points,16.5,9.428571428571429,5.065705840391412,28,3,0.10714285714285714,0.4,0.2,0.07692307692307693,0.13333333333333333,0.10714285714285714,0.016629872674070123,0.08136606912772204,0.06837959964821644,High,UNDER,Strong
869,DeWanna Bonner,points,17.5,9.428571428571429,5.065705840391412,28,2,0.07142857142857142,0.2,0.1,0.07692307692307693,0.06666666666666667,0.07142857142857142,0.008317305552017864,0.055541153928640966,0.04509567696974342,High,UNDER,Strong
869,DeWanna Bonner,points,18.5,9.428571428571429,5.065705840391412,28,2,0.07142857142857142,0.2,0.1,0.07692307692307693,0.06666666666666667,0.07142857142857142,0.003963103726180967,0.0366664601032347,0.03735271175266237,High,UNDER,Strong
869,DeWanna Bonner,points,19.5,9.428571428571429,5.065705840391412,28,1,0.03571428571428571,0.2,0.1,0.07692307692307693,0.0,0.03571428571428571,0.001802371993058911,0.02339705486750485,0.020304570858283157,High,UNDER,Strong
869,DeWanna Bonner,points,20.5,9.428571428571429,5.065705840391412,28,1,0.03571428571428571,0.2,0.1,0.07692307692307693,0.0,0.03571428571428571,0.0007837413188727888,0.014423728684787968,0.016973918572648822,High,UNDER,Strong
869,DeWanna Bonner,points,22.5,9.428571428571429,5.065705840391412,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013039219840355518,0.004934631751827752,0.001688341316743769,High,UNDER,Strong
869,DeWanna Bonner,points,24.5,9.428571428571429,5.065705840391412,28,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8476450660356672e-05,0.0014640439253672478,0.0004941734586758681,High,UNDER,Strong
869,DeWanna Bonner,points,26.5,9.428571428571429,5.065705840391412,28,0,0.0,0.0,0.0,0.0,0.0,0.0,2.254411011628675e-06,0.00037584094820314735,0.00012603178640492534,High,UNDER,Strong
869,DeWanna Bonner,points,28.5,9.428571428571429,5.065705840391412,28,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3917894736343663e-07,8.333732149337098e-05,2.7858833480244803e-05,High,UNDER,Strong
869,DeWanna Bonner,rebounds,2.5,5.571428571428571,2.6165933666813506,28,25,0.8928571428571429,1.0,1.0,0.8461538461538461,0.9333333333333333,0.8928571428571429,0.91593966041855,0.8797678847314582,0.8961882293357171,High,OVER,Strong
869,DeWanna Bonner,rebounds,3.5,5.571428571428571,2.6165933666813506,28,21,0.75,1.0,1.0,0.7692307692307693,0.7333333333333333,0.75,0.8062646294357714,0.7857178791005657,0.7806608361787791,High,OVER,Strong
869,DeWanna Bonner,rebounds,4.5,5.571428571428571,2.6165933666813506,28,17,0.6071428571428571,0.8,0.9,0.6153846153846154,0.6,0.6071428571428571,0.6535029791383294,0.6589043052979946,0.6398500471930604,High,OVER,Moderate
869,DeWanna Bonner,rebounds,5.5,5.571428571428571,2.6165933666813506,28,14,0.5,0.8,0.9,0.5384615384615384,0.4666666666666667,0.5,0.4832828545211804,0.5108890967749495,0.49805731709871,High,UNDER,Weak
869,DeWanna Bonner,rebounds,6.5,5.571428571428571,2.6165933666813506,28,13,0.4642857142857143,0.6,0.8,0.46153846153846156,0.4666666666666667,0.4642857142857143,0.32522131023382733,0.3613404941978805,0.383615839572474,High,UNDER,Moderate
869,DeWanna Bonner,rebounds,7.5,5.571428571428571,2.6165933666813506,28,6,0.21428571428571427,0.4,0.5,0.15384615384615385,0.26666666666666666,0.21428571428571427,0.19941722396430164,0.23054466021749598,0.21474919948917062,High,UNDER,Strong
869,DeWanna Bonner,rebounds,8.5,5.571428571428571,2.6165933666813506,28,3,0.10714285714285714,0.4,0.3,0.07692307692307693,0.13333333333333333,0.10714285714285714,0.111803663883739,0.1315208817990131,0.11682246760853641,High,UNDER,Strong
869,DeWanna Bonner,rebounds,9.5,5.571428571428571,2.6165933666813506,28,2,0.07142857142857142,0.2,0.2,0.07692307692307693,0.06666666666666667,0.07142857142857142,0.05756669811958113,0.06662517055001074,0.06520681336605443,High,UNDER,Strong
869,DeWanna Bonner,rebounds,10.5,5.571428571428571,2.6165933666813506,28,1,0.03571428571428571,0.0,0.1,0.0,0.06666666666666667,0.03571428571428571,0.027348960050978924,0.029810684881335328,0.03095797688219999,High,UNDER,Strong
869,DeWanna Bonner,rebounds,11.5,5.571428571428571,2.6165933666813506,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012043871938310276,0.011733054399109388,0.007925642112473222,High,UNDER,Strong
869,DeWanna Bonner,rebounds,12.5,5.571428571428571,2.6165933666813506,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004937938171714137,0.004049244335589727,0.0029957275024346214,High,UNDER,Strong
869,DeWanna Bonner,assists,1.5,1.3571428571428572,1.3666473091931466,28,10,0.35714285714285715,0.6,0.6,0.23076923076923078,0.4666666666666667,0.35714285714285715,0.393282879447518,0.45837394568482653,0.4029332274250672,High,UNDER,Moderate
869,DeWanna Bonner,assists,2.5,1.3571428571428572,1.3666473091931466,28,6,0.21428571428571427,0.6,0.4,0.0,0.4,0.21428571428571427,0.1562429654654339,0.20150748113974176,0.1906787202969633,High,UNDER,Strong
869,DeWanna Bonner,assists,3.5,1.3571428571428572,1.3666473091931466,28,2,0.07142857142857142,0.2,0.1,0.0,0.13333333333333333,0.07142857142857142,0.049010623425919546,0.05844448004854093,0.059627891634343975,High,UNDER,Strong
869,DeWanna Bonner,assists,4.5,1.3571428571428572,1.3666473091931466,28,1,0.03571428571428571,0.0,0.0,0.0,0.06666666666666667,0.03571428571428571,0.012628221662512887,0.01073306063116016,0.01969185600265292,High,UNDER,Strong
869,DeWanna Bonner,assists,5.5,1.3571428571428572,1.3666473091931466,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027529983267310805,0.0012171053407464328,0.0013233678891591712,High,UNDER,Strong
869,DeWanna Bonner,assists,6.5,1.3571428571428572,1.3666473091931466,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005193168579232891,8.390348195248096e-05,0.00020107344662525668,High,UNDER,Strong
869,DeWanna Bonner,assists,7.5,1.3571428571428572,1.3666473091931466,28,0,0.0,0.0,0.0,0.0,0.0,0.0,8.625616499116677e-05,3.481159924899043e-06,2.9912441638688603e-05,High,UNDER,Strong
869,DeWanna Bonner,assists,8.5,1.3571428571428572,1.3666473091931466,28,0,0.0,0.0,0.0,0.0,0.0,0.0,1.279051172589601e-05,8.634879519641503e-08,4.292286840364142e-06,High,UNDER,Strong
869,DeWanna Bonner,PRA,12.5,16.357142857142858,7.134757312254,28,20,0.7142857142857143,0.8,0.9,0.8461538461538461,0.6,0.7142857142857143,0.8294504996151639,0.7056128368301844,0.7497830169103542,High,OVER,Strong
869,DeWanna Bonner,PRA,15.5,16.357142857142858,7.134757312254,28,15,0.5357142857142857,0.8,0.9,0.5384615384615384,0.5333333333333333,0.5357142857142857,0.5682545085429085,0.5478123842352322,0.5505937261641421,High,OVER,Weak
869,DeWanna Bonner,PRA,18.5,16.357142857142858,7.134757312254,28,10,0.35714285714285715,0.8,0.7,0.3076923076923077,0.4,0.35714285714285715,0.2879220985564391,0.38195869173251173,0.3423412158106027,High,UNDER,Strong
